genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Anime,Kenji Kawai,Kana,4KbRlifvb4Y3JNKzYgwE9l,12,0.941,0.154,135333.0,0.119,0.0975,E,0.176,-18.3,Major,0.0368,105.228,3/4,0.15
R&B,ford.,Lazy Sad,4MGH4vTj4vwbxUhZ5CiZto,43,0.221,0.595,210674.0,0.462,0.00151,A,0.109,-6.816,Major,0.0545,89.975,4/4,0.0922
Folk,Saint Raymond,Oh Brother,0906LvCabevaBnZ3kAPovX,55,0.0883,0.644,192749.0,0.645,5.76e-05,C,0.163,-7.083,Major,0.0274,123.029,4/4,0.264
Rap,Wyclef Jean,Sweetest Girl (Dollar Bill),4liGjmhCupa7RP9JaQELYx,59,0.0772,0.733,241133.0,0.744,0.0,C#,0.341,-3.51,Major,0.0553,92.515,4/4,0.529
Reggaeton,Guaco,Quiero Decirte (En Vivo),3xHa0sSafOt8EB9qfCHIB5,25,0.112,0.682,323783.0,0.904,0.0,D,0.776,-8.696,Major,0.049,99.953,4/4,0.892
Electronic,Cocteau Twins,Bluebeard,4kxpoNJE8r3LgsSzEqaEDU,35,0.00713,0.471,237267.0,0.692,0.0,E,0.306,-9.611,Major,0.033,94.898,4/4,0.472
Electronic,Ten Walls,Walking With Elephants,6wPMapHawG4uns1R3vHzUG,58,0.00627,0.78,325521.0,0.633,0.892,A,0.0612,-6.81,Minor,0.0424,120.007,4/4,0.582
Pop,Tyga,Dip,2qfR91VvO7hRp4IajDT08h,72,0.0152,0.877,127200.0,0.562,0.0,A,0.0933,-7.096,Major,0.26,99.977,4/4,0.376
Folk,America,A Horse with No Name,54eZmuggBFJbV7k248bTTt,77,0.686,0.654,252240.0,0.506,0.0155,B,0.155,-17.18,Minor,0.0535,123.179,4/4,0.831
Jazz,Johnny Pacheco,Quimbara,7dFWvedJ3RKdVSdPlzU3h3,46,0.674,0.6,288280.0,0.713,0.000248,E,0.0628,-5.592,Minor,0.0737,119.674,4/4,0.964
Alternative,Jack White,Love Interruption,3s3ciLHOXE1xVqGkdxwHPs,46,0.645,0.582,157973.0,0.365,1.03e-06,A,0.147,-11.04,Major,0.0388,93.855,4/4,0.312
Comedy,Richard Pryor,Wino Dealing With Dracula,6uH1AhxRrhht4abJzUruNx,17,0.857,0.468,126800.0,0.898,4.06e-05,B,0.852,-10.302,Major,0.947,86.749,3/4,0.224
Ska,The Supervillains,Jumpin' Beans,0fnp25u2VrooXHzHX0bW66,15,0.00194,0.477,146880.0,0.665,0.000199,C,0.083,-12.956,Minor,0.089,116.744,4/4,0.515
Blues,Joe Bonamassa,Love Ain't a Love Song,50ttL5XmiGyYscxnJKJy2R,32,0.000744,0.471,228520.0,0.944,0.000587,A#,0.193,-4.673,Minor,0.0686,94.414,4/4,0.763
Dance,Beyoncé,Naughty Girl,0YGQ3hZcRLC5YX7o0hdmHg,61,0.237,0.588,208573.0,0.461,1.54e-05,F#,0.0913,-8.686,Minor,0.161,200.053,4/4,0.659
Electronic,The Orb,Kan Kan,0ZtugxRpjH7B2by2pgQwrE,0,3.6e-05,0.696,283800.0,0.651,0.882,C#,0.161,-12.914,Major,0.0394,122.002,4/4,0.488
Indie,Dizzy Wright,Killem With Kindness,3LDvLibID9j32PoWnT6v80,64,0.0309,0.705,208273.0,0.611,0.0,D,0.0903,-6.772,Minor,0.236,87.996,4/4,0.596
Folk,Sleeping At Last,When It Don't Come Easy,7rPlRERIWJ7YeASsTuHPK8,52,0.973,0.386,254932.0,0.184,0.0,C,0.144,-11.035,Major,0.0518,90.541,4/4,0.237
Hip-Hop,Mike Stud,It Ain't Safe,2D9vXwPW1U7az2AYDvZsej,53,0.445,0.718,175980.0,0.457,0.000243,C,0.0998,-8.252,Major,0.0372,99.921,4/4,0.496
Ska,Leftöver Crack,"The Good, the Bad, and the Leftover Crack",47zee1zB5bnAoM0Imm1m0G,15,0.0486,0.15,103240.0,0.97,9.44e-05,D,0.833,-5.914,Major,0.0666,177.138,4/4,0.601
Opera,Giacomo Puccini,Puccini: Manon Lescaut - Crisantemi Theme (Chrysanthemums),7d248P5pwpTbjd81A0piz7,15,0.952,0.154,343600.0,0.0344,0.869,F#,0.116,-25.895,Minor,0.0454,105.964,4/4,0.0392
Electronic,Paul Oakenfold,Deep Space,6umtZDWvbg9i1p0m1Nnxhv,31,0.00268,0.705,430754.0,0.842,0.753,C#,0.51,-7.882,Major,0.042,130.001,4/4,0.119
Classical,Frédéric Chopin,"Nocturne No. 2 in E Flat, Op. 9",15giWSqDtp6Rr4YXstgSp3,38,0.99,0.389,285933.0,0.00952,0.899,A#,0.0748,-32.432,Major,0.0349,92.074,4/4,0.0738
Movie,Audra McDonald,Tom Cat Goodbye,5LWJT1YD9g85kAmeWg9GyM,5,0.891,0.309,282173.0,0.481,9.5e-06,B,0.11,-7.538,Major,0.0692,83.682,4/4,0.172
R&B,Block B,Shall We Dance,1nIGvBzMykPmKjUJRWOwHE,52,0.0154,0.853,180807.0,0.721,0.0,D,0.141,-3.769,Major,0.0776,112.01,4/4,0.827
Classical,Franz Schubert,"Piano Trio No. 1, Op. 99 D898: IV. Rondo (Allegro vivace)",1P0E20dEiQOj5ql6WGHzyk,31,0.973,0.489,545587.0,0.071,0.646,A#,0.0589,-21.869,Major,0.0418,90.248,4/4,0.327
Pop,Drake,Show Me A Good Time,7v0hKO3RYhEXt2EPXf4AOS,55,0.0432,0.662,210360.0,0.714,0.0,F#,0.11,-6.027,Minor,0.173,128.344,4/4,0.696
Folk,The Mountain Goats,Younger,6208C3qAxNakZF8WXJRp0I,49,0.000251,0.535,352387.0,0.584,0.158,D,0.174,-12.743,Major,0.0364,109.623,4/4,0.704
Hip-Hop,T-Pain,Turn All the Lights On,5Ue25r0VGvZR7vaw3iB0gZ,60,0.0382,0.697,216440.0,0.807,0.0,F#,0.471,-3.049,Minor,0.0587,127.01,4/4,0.732
Folk,BANNERS,Let Go,6p93L645SWD7SBFnMTqAst,53,0.00601,0.474,195500.0,0.701,7.66e-05,D,0.179,-4.159,Major,0.03,142.123,4/4,0.173
Opera,Richard Wagner,Tannhauser (Overture),5GdqlRK5jNRFJpHmzEGh9W,9,0.964,0.137,598000.0,0.0542,0.898,B,0.0834,-18.873,Major,0.0334,81.48,4/4,0.0379
Folk,Sufjan Stevens,Death with Dignity,4fpEuKIzTLmMJnYwFU0oqr,63,0.986,0.51,239508.0,0.16,0.017,E,0.113,-21.03,Major,0.0395,170.063,4/4,0.383
Indie,Blur,Song 2,3GfOAdcoc3X5GPiiXmpBjK,65,0.00188,0.658,121880.0,0.709,0.00447,G#,0.0657,-6.736,Major,0.0904,129.699,4/4,0.855
Pop,Ed Sheeran,All of the Stars - non soundtrack version,3Th56VIq2sEaEmPPETu7p5,60,0.00886,0.54,237147.0,0.557,0.000182,B,0.307,-6.097,Major,0.0259,75.035,4/4,0.287
Anime,SPITZ,Haruka - Album Mix,0b0ttW4v9eCdIfliFvHZO1,18,0.0133,0.521,262173.0,0.705,0.0,E,0.155,-5.364,Major,0.0264,97.036,4/4,0.435
Indie,Jacob Lee,Slip,2Ria6oMsP7RdfyALZsjmLu,49,0.441,0.628,245385.0,0.447,0.0,C#,0.0824,-5.122,Minor,0.0374,149.773,3/4,0.236
Alternative,Ratatat,Wildcat,4EBisBBehGON4ESJsNZBsP,51,0.0479,0.703,260173.0,0.718,0.432,C#,0.0415,-7.522,Major,0.0669,115.993,4/4,0.785
Ska,Viernes 13,Lagrimas De Agave,6Qs36tiiu6E1dBmSH1JQN9,23,0.0758,0.412,263560.0,0.696,3.01e-05,G,0.0865,-5.328,Major,0.0323,135.323,4/4,0.589
Jazz,Pigeondust,Bboy Blue,6KH2UXO3DsSYiVZd4odhj4,49,0.0242,0.718,148246.0,0.897,0.59,C#,0.161,-7.292,Minor,0.0346,90.974,4/4,0.876
Ska,Jaya The Cat,Fake Carreras,0drBsKXkexlMaoD3y6eUWX,29,0.0141,0.596,203467.0,0.9,0.0,D,0.6,-5.016,Major,0.0757,95.132,4/4,0.719
Ska,The Specials,Concrete Jungle - 2015 Remaster,6yLXuH7T6N6bdURlfhVKzM,33,0.057,0.569,200013.0,0.934,0.0463,C,0.0677,-5.737,Major,0.0485,157.877,4/4,0.96
Rap,Ghostemane,D(R)Own,4Ag89Y7qSUrpxcgRtSzSam,57,0.125,0.617,107999.0,0.541,0.0,F#,0.369,-4.113,Major,0.78,79.998,4/4,0.43
Reggaeton,Yandel,Explícale - Remix,65n40RsQ9SObH7hNvVTHp0,59,0.0885,0.774,395667.0,0.682,0.0,C#,0.0963,-4.099,Major,0.126,125.026,4/4,0.587
Folk,"Peter, Paul and Mary",Tell It on the Mountain,06VuCrLHmfdgdUXSQCX6us,46,0.757,0.619,178240.0,0.261,0.0,D,0.259,-10.632,Major,0.0357,116.379,4/4,0.658
Folk,Baths,Clarence Difference,2LncPy3DNKutXIuRByB1ZL,43,0.532,0.576,237913.0,0.279,0.914,F#,0.0822,-16.501,Major,0.0281,115.006,4/4,0.27
Dance,Ariana Grande,Jason's Song (Gave It Away),3We8H9cfhS7x4hdwBn9vXW,58,0.455,0.66,264613.0,0.662,1.83e-05,G,0.0767,-4.306,Minor,0.0508,105.973,4/4,0.587
Classical,Wolfgang Amadeus Mozart,"""Ch'io mi scordi di te... Non temer, amato bene"", K.505",3Vo7sEkBpmfTgQwwUAv0vF,47,0.988,0.362,574694.0,0.113,0.000122,D#,0.208,-16.998,Major,0.0441,101.117,4/4,0.215
Electronic,Nicola Cruz,Espiritu de Proteccion,6MVzI0yhbAAwiTDSrhxPp2,36,0.113,0.863,468100.0,0.573,0.54,F,0.159,-9.433,Minor,0.0729,114.996,4/4,0.352
Rap,Nipsey Hussle,Rap Niggas,5En0gXQk01BaWoT4q2oVbe,56,0.000351,0.519,226187.0,0.821,0.0,C#,0.361,-3.171,Major,0.0738,140.971,4/4,0.284
Pop,Kenny Loggins,Footloose,6W2VbtvMrDXm5vYeB7amkO,70,0.0819,0.546,220707.0,0.895,1.42e-05,A,0.0768,-7.189,Major,0.0579,174.089,4/4,0.494
Hip-Hop,Kevin Gates,Me Too,3yXFcbGxFn2au5q3pShkAe,69,0.152,0.726,202301.0,0.605,0.0,G,0.642,-5.002,Major,0.296,139.233,4/4,0.36
R&B,Star Cast,You Don't Know Me,09ycpdjMi7BGuQjdvgFFgK,45,0.0868,0.829,181840.0,0.76,0.000401,D,0.0738,-7.249,Major,0.0941,102.791,4/4,0.536
R&B,Alessia Cara,Overdose,08gpoPLVHNAkvwyw76q9q7,53,0.0169,0.556,208640.0,0.747,0.0,B,0.439,-4.568,Minor,0.0511,108.026,3/4,0.343
Jazz,Anita Baker,I Apologize - Single Version,42PgBU5zsMItWXs9Gd9MIP,48,0.488,0.581,256200.0,0.509,0.0,B,0.0703,-10.9,Major,0.0528,77.255,4/4,0.363
Hip-Hop,Rich Boy,Throw Some D's,6SmPPtaMnfxgz5duA6t9Cu,57,0.0408,0.698,263920.0,0.863,0.0,B,0.0758,-5.292,Major,0.489,160.894,4/4,0.414
Dance,Pia Mia,Mr. President,6fdSTJlEDnjzNMQaCAVxUd,52,0.254,0.801,182093.0,0.52,0.0,F,0.0843,-6.298,Minor,0.0443,95.004,4/4,0.704
Folk,Sleeping At Last,Atlas: Sorrow,5MfLvrY41FFJK459brrUUj,41,0.903,0.162,311026.0,0.264,0.000344,C,0.325,-10.963,Major,0.0336,172.143,4/4,0.276
Soul,Robin Thicke,Blurred Lines,0n4bITAu0Y0nigrz3MFJMb,74,0.00373,0.862,263827.0,0.608,6.14e-06,G,0.0856,-4.762,Major,0.0402,120.002,4/4,0.836
Hip-Hop,Future,Jersey,2ACys0pX0SjmpQmQWzp7wt,61,0.509,0.758,188703.0,0.526,0.000467,F,0.0913,-10.81,Minor,0.255,146.054,4/4,0.312
Indie,Portugal. The Man,Rich Friends,18admrko96XeSCmgD76wlM,56,0.00545,0.607,221627.0,0.881,0.000344,G#,0.285,-5.354,Major,0.053,94.994,4/4,0.34
Anime,Nobuo Uematsu,Battle 1,2oWwQ1oU2VeVBInSebpCGP,34,0.0004,0.375,160467.0,0.77,0.836,G,0.148,-7.771,Major,0.0569,160.065,4/4,0.641
Folk,Alestorm,Mexico,35cnc4XqirI3CzVMIaQQWP,45,6.63e-05,0.573,190333.0,0.962,1.08e-06,C#,0.32,-3.779,Major,0.0482,128.009,4/4,0.862
R&B,FKA twigs,Kicks,1JPpVqljMIyQnNw3CDH8RG,38,0.292,0.6,324600.0,0.402,0.000209,G#,0.123,-9.151,Major,0.0622,123.968,4/4,0.146
R&B,Plies,Please Excuse My Hands [feat. Jamie Foxx & The-Dream],4HF6gIWAAmdDjzU59Ohd1I,46,0.0229,0.698,264440.0,0.828,0.0,D,0.0836,-5.248,Minor,0.0756,124.964,4/4,0.484
Anime,Mika Nakashima,Melody,6ZroZlwwBHjP6iZQ1Ayioz,13,0.959,0.363,282213.0,0.168,1.82e-05,B,0.0997,-11.522,Major,0.0306,65.09,4/4,0.207
Ska,The Maytals,I Feel Alright,73SVtrGPsQkfVup5cVFgWX,20,0.0762,0.66,140407.0,0.611,0.0,G,0.083,-9.809,Major,0.0928,83.198,4/4,0.844
Anime,BUMP OF CHICKEN,流星群,1ALoUWUiQcW5gNofKWoXlU,29,0.102,0.529,407640.0,0.408,0.0,B,0.13,-9.441,Major,0.0253,144.064,4/4,0.211
Folk,Cobra Skulls,Cobracoustic,0WjMFlPfM73K02rAeC2JAf,40,0.741,0.654,168120.0,0.486,0.0,C,0.0977,-9.473,Major,0.0278,81.7,4/4,0.373
R&B,Bruno Major,Bad Religion - Live,2HcGZ0bpmtfHQTdlXNxRR6,47,0.922,0.48,214373.0,0.181,0.0,E,0.104,-10.105,Major,0.0438,144.408,4/4,0.162
Folk,Joy Williams,Sweet Love of Mine (Acoustic),1d4QAtlNQCnMARsacnkoyC,45,0.943,0.565,175120.0,0.136,1.68e-06,B,0.0952,-12.179,Major,0.0299,83.013,4/4,0.349
Indie,Mahalia,Sober,3C57ewlHARCVqeH3KiYkma,66,0.34,0.657,266288.0,0.7,0.000106,A#,0.0992,-4.911,Minor,0.382,82.113,4/4,0.61
Folk,Ingrid Michaelson,Everybody,05xaXtqDCSFR9OLS5tL5oQ,55,0.446,0.74,209547.0,0.63,0.0,B,0.08,-6.735,Major,0.0338,95.014,4/4,0.464
Alternative,MGMT,Weekend Wars,19K3lUMJmOdeuOBTrbLm19,53,0.0964,0.549,250773.0,0.859,2.36e-05,F,0.322,-3.993,Major,0.0361,77.013,4/4,0.69
Movie,Chorus,THEEYIL VIZHUNDA,6MdFgSls1zMFPTdqgLCcgI,14,0.665,0.621,381107.0,0.404,0.289,G#,0.108,-14.258,Minor,0.0573,79.993,4/4,0.326
Alternative,Foxing,The Medic,5KzuAU7zxcP0bq0CPdRRyr,49,0.0173,0.623,202840.0,0.692,0.00883,A,0.124,-7.977,Major,0.0293,104.977,4/4,0.13
Folk,The Kinks,Come Dancing,32y1kRg6IF3f6jpkHxzFoK,50,0.244,0.499,234853.0,0.763,1.4e-05,G,0.0828,-11.617,Major,0.0704,152.677,4/4,0.895
R&B,Hablot Brown,Reason,7hdM3l7whE3lTHP6WsoKZT,61,0.164,0.799,200000.0,0.309,0.00037,F,0.0854,-8.462,Minor,0.165,89.964,4/4,0.553
Comedy,Don Rickles,Current Events,4BFQyt7h8NF2DvF7VQcIxc,12,0.816,0.675,213480.0,0.351,0.0,B,0.696,-17.277,Major,0.9,93.439,4/4,0.695
Classical,Frédéric Chopin,"Polonaise No.7 in A flat, Op.61 Polonaise-Fantaisie: Polonaise No.7 in A flat, Op.61 Polonaise-Fantaisie",2jsnOginmflAutN6efs6H5,38,0.994,0.256,735000.0,0.0643,0.888,B,0.0881,-19.46,Major,0.0418,71.47,3/4,0.0395
Electronic,The Chemical Brothers,One Too Many Mornings,0lOzGDHcPlUB1ZvXMWQ0Oh,42,0.171,0.62,253160.0,0.558,0.916,G,0.157,-11.422,Major,0.0407,171.827,4/4,0.539
Children’s Music,Alice In Chains,The One You Know,1CLUtToY6V0jn79UPtf5VA,52,0.000222,0.557,289013.0,0.772,0.0192,F#,0.196,-4.989,Minor,0.0325,77.533,4/4,0.567
R&B,Alicia Keys,You Don't Know My Name,6LGwYMXXgURfaequXipzHx,62,0.589,0.263,366733.0,0.663,0.00451,A,0.342,-8.264,Major,0.19,167.271,4/4,0.25
Jazz,Peggy Lee,Johnny Guitar,0DrD6LrQzaObJaJHlCDfiW,47,0.863,0.296,181200.0,0.23,0.000155,E,0.109,-17.38,Minor,0.045,79.103,4/4,0.217
Soundtrack,Jeremy Soule,The Gathering Storm,1SCZdUny74IGIsMOb5OYjL,47,0.965,0.148,173246.0,0.0411,0.934,G,0.0924,-27.49,Minor,0.038,104.685,3/4,0.0335
Country,Jamey Johnson,Flying Silver Eagle,0gzVxljHGJs6bQ2ts5XbO6,39,0.11,0.568,267120.0,0.73,0.0,D,0.123,-5.133,Major,0.0279,141.849,4/4,0.64
Anime,Hiroyuki Sawano,凸】♀】♂】←Titan,1sxV3W2udWG44iPEgRuEzp,39,0.0127,0.585,261373.0,0.45,0.675,D,0.0921,-11.736,Major,0.0574,139.574,1/4,0.342
Hip-Hop,Rich The Kid,Mo Paper,13H2hdEQe1gZZZhtBK9xcq,61,0.0432,0.848,183834.0,0.731,0.0,F#,0.1,-6.332,Minor,0.444,164.974,4/4,0.701
Classical,Georg Philipp Telemann,"Flute Sonata in D Minor, TWV 42:d10: II. Adagio",7I2D5K06URW0DZZaFynbxo,7,0.854,0.178,129667.0,0.0869,0.00138,C#,0.127,-21.623,Minor,0.0385,109.705,4/4,0.073
R&B,Souly Had,Fall Back,5VlmxH8BGM1OuUw0mNEMOi,40,0.106,0.77,196250.0,0.476,2.3e-05,C,0.0832,-6.379,Major,0.271,146.531,4/4,0.36
Folk,The National,Exile Vilify (From the Game Portal 2),1IbFHfVWUDNkhSY9PWt9th,46,0.777,0.512,285000.0,0.373,0.501,G#,0.11,-11.765,Minor,0.0289,120.059,3/4,0.204
Reggaeton,Lyanno,La Bellakera Remix,6AoGvcOR6Wwf5eJUENnKBS,40,0.0752,0.724,371055.0,0.539,0.0,C#,0.0796,-6.189,Minor,0.0585,109.917,4/4,0.424
Opera,Giacomo Puccini,"Manon Lescaut, Act I: Donna non vidi mai simile a questa!",26Klg1Nd9LFsdZbtTpvvxn,11,0.977,0.174,155200.0,0.103,0.0601,A#,0.245,-22.966,Major,0.0416,74.766,4/4,0.114
Anime,KANA-BOON,Byakuya,3Ay0ZSC7FMtEOl3IZvNYYs,19,0.0712,0.536,187896.0,0.946,9.14e-05,F#,0.0654,-2.041,Major,0.0759,82.502,4/4,0.842
Children's Music,The Wonder Kids,Redeemer,6UP49LfdPdQHNjF3nIU0Ct,0,0.463,0.648,296400.0,0.348,0.0,F#,0.0514,-9.513,Major,0.0244,106.007,4/4,0.153
Folk,Jeff Rosenstock,Staring Out the Window at Your Old Apartment,6brGrVfXXPsc3JlwuPTOfw,39,0.336,0.374,201863.0,0.427,0.0,G,0.324,-6.808,Major,0.0283,167.568,4/4,0.329
Soundtrack,Lorne Balfe,Connor's Life,6nAlSE3qRnRZPqf4Mo9iNJ,38,0.604,0.169,296707.0,0.267,0.922,F,0.102,-18.196,Major,0.0379,113.881,4/4,0.0396
Children’s Music,Alina Baraz,Show Me,5DWlblna0iBMpTvo5cXzdK,59,0.14,0.482,253200.0,0.623,0.0,C,0.121,-8.72,Minor,0.163,99.846,4/4,0.217
Indie,Chase Atlantic,Dancer in the Dark,0ILIuCVbnekvEFpQCWhP8a,53,0.00769,0.586,252187.0,0.746,0.0,C#,0.14,-6.609,Minor,0.0533,104.91,4/4,0.446
Jazz,Tower Of Power,Only so Much Oil in the Ground - Remastered,6YxJ9uq7ex1rcFfx6boYDo,35,0.164,0.672,229960.0,0.883,8.27e-06,D,0.0908,-7.342,Minor,0.115,122.298,4/4,0.848
Rock,John Mayer,Slow Dancing in a Burning Room,2jdAk8ATWIL3dwT47XpRfu,78,0.573,0.668,242000.0,0.361,0.00506,C#,0.0805,-8.69,Minor,0.0273,134.15,5/4,0.288
Anime,"Fear, and Loathing in Las Vegas",The Demon Called Careless,1h7QyTtfp93tWMU27TKoRi,23,0.000287,0.223,207480.0,0.979,0.0,F,0.23,-0.033,Minor,0.169,164.2,3/4,0.342
Children's Music,Kimbo Children's Music,I'm a Fish,3aSEWIBrixHoyQwRZfJxin,0,0.456,0.892,62107.0,0.289,0.0,A#,0.0987,-17.296,Major,0.602,127.987,4/4,0.0977
R&B,Destiny's Child,Lose My Breath,4dvQg9sD8k9y4qiEURuj8v,61,0.00727,0.814,242013.0,0.899,0.219,C#,0.0979,-5.958,Major,0.0637,119.011,4/4,0.545
Folk,Devendra Banhart,Mi Negrita,4r7iDEGdW2Gw9hJlCbi5qL,55,0.903,0.693,204507.0,0.4,0.803,D,0.0986,-11.631,Major,0.0319,117.954,4/4,0.573
Electronic,Hot Chip,Night And Day,1xI1WeIBbsLQ6j0jLpAq4q,29,0.03,0.761,268690.0,0.781,0.0213,F,0.166,-5.593,Major,0.0369,125.987,4/4,0.609
Anime,PENGUIN RESEARCH,Shinibasho Dance,7oJvX4Tntuw3icphAUgpnI,12,0.0035,0.475,194160.0,0.977,0.0371,E,0.0924,-2.899,Minor,0.204,161.969,4/4,0.573
R&B,D'Angelo,Untitled (How Does It Feel) - Edit,6Ms01Gqi8gVBs14YrNUlVZ,40,0.176,0.807,259840.0,0.411,0.0127,E,0.315,-7.22,Minor,0.06,112.624,3/4,0.303
Dance,James TW,When You Love Someone,1o6YK7phnXgsljfWSQQfWc,80,0.248,0.675,216373.0,0.444,0.0,G,0.0531,-6.067,Major,0.028,125.884,4/4,0.356
Pop,The Weeknd,Privilege,26Fqtv4Aa7kyd1WWGHai6A,71,0.913,0.391,170573.0,0.595,0.00557,B,0.145,-7.094,Minor,0.0411,93.78,4/4,0.379
Folk,Angel Olsen,Woman,75BaaPgs0joMLIyltpA8Cl,43,0.386,0.298,457013.0,0.337,0.000741,C,0.113,-10.574,Major,0.0302,126.243,4/4,0.0819
Rap,Quavo,LAMB TALK,3nmfktGzQJe0B77Ilcce1o,66,0.14,0.911,172441.0,0.597,0.0,B,0.116,-6.517,Minor,0.273,142.036,4/4,0.315
Opera,Gioachino Rossini,String Sonata No. 3 in C Major: Moderato,1Zl5JExuCqpKHeITUPsqOx,12,0.902,0.31,188240.0,0.0548,0.857,C,0.0893,-26.101,Major,0.0462,72.372,4/4,0.358
Pop,John Mayer,Perfectly Lonely,42dbDZX9bsEGqMZWYmnR7J,61,0.00987,0.678,268093.0,0.53,0.000274,C,0.0437,-8.515,Major,0.024,91.779,4/4,0.678
Anime,Nobuo Uematsu,A Place to Call Home - Melodies of Life (Final Fantasy IX),2acf18eeOVvi5SCJSsHiPY,37,0.926,0.168,417747.0,0.189,0.000162,D,0.0633,-11.386,Major,0.0329,80.173,3/4,0.12
Blues,Nina Simone,Little Girl Blue - Live In New York/1964,0Z6J3eMqewSwFvVuclFxwD,38,0.965,0.357,152373.0,0.131,0.000453,G,0.167,-17.882,Major,0.0335,143.469,4/4,0.255
Ska,Direct Hit!,Artificial Confidence,3u7pHtKn4sU86VzJHM4Wbw,31,0.00764,0.353,169659.0,0.973,0.0,C#,0.105,-3.126,Major,0.117,167.92,4/4,0.707
Reggae,311,Rub a Dub,5EOGvfbwZB7xuw6HwRXsLD,31,0.147,0.772,160667.0,0.596,0.00946,G,0.356,-8.605,Major,0.031,92.214,4/4,0.697
Reggae,Toots & The Maytals,Pressure Drop,7cfILJJHW9ZSkbM2ywLhiN,49,0.106,0.658,174960.0,0.571,0.0,G#,0.0286,-11.972,Major,0.0432,148.964,4/4,0.985
Reggae,Ziggy Marley,Wild and Free,53d5cBadhzlCjR6wogaSc7,30,0.024,0.836,290222.0,0.609,0.0,E,0.0987,-6.453,Major,0.0317,97.484,4/4,0.789
Indie,Portugal. The Man,Hip Hop Kids,3LBBeej1zGctWlJNpNa4I6,50,0.0108,0.433,207787.0,0.782,0.0,A,0.38,-6.359,Major,0.0363,94.995,4/4,0.498
Children’s Music,WALK THE MOON,Jenny,7eMpW9I1ZpVs6VQ90naDBh,53,0.000366,0.544,245133.0,0.788,0.0,F,0.141,-5.593,Minor,0.0474,148.121,4/4,0.818
Reggaeton,Alexis y Fido,El Rolo,1MBE1YW5PHfNZRFtEBvnoZ,18,0.397,0.848,165640.0,0.849,0.0,B,0.48,-4.649,Major,0.148,94.984,4/4,0.7
Opera,Tomaso Albinoni,"Konzert für Oboe d-Moll, Op. 9 Nr. 2: I. Allegro e non presto",1z2QaX2BuwMNrEMxhXWT5e,27,0.949,0.431,273440.0,0.157,0.826,D,0.124,-16.844,Minor,0.0386,144.446,4/4,0.441
Ska,Jackie Mittoo,Love Is Blue,5wfXBhJvrBqvBSTPzw954D,34,0.79,0.553,149413.0,0.322,0.394,G,0.178,-12.748,Major,0.0364,88.159,4/4,0.284
Opera,Alfredo Catalani,"Catalani: La Wally, Act 1: ""Ebben, ne andrò lontana"" (Wally)",0sXuC1OYFvjyQKqsA7RhSN,20,0.986,0.276,223386.0,0.139,0.0436,E,0.0865,-17.968,Major,0.051,83.589,3/4,0.037
